"trimester","ADM1_ES","ADM2_ES","avg_d_mbps","avg_u_mbps"
1,"Amazonas","Leticia",1.834994,1.455594
1,"Antioquia","Abejorral",10.7706666666667,6.74441666666667
1,"Antioquia","Abriaqui",4.891,0.561
1,"Antioquia","Alejandria",5.1215,5.9485
1,"Antioquia","Amaga",7.03126829268293,2.835
1,"Antioquia","Amalfi",8.36277777777778,10.2165555555556
1,"Antioquia","Andes",4.50414285714286,2.15814285714286
1,"Antioquia","Angelopolis",7.46775,3.0765
1,"Antioquia","Angostura",4.162875,0.7755
1,"Antioquia","Anori",9.142,9.187297
1,"Antioquia","Anza",10.575,1.61475
1,"Antioquia","Apartado",10.93803125,3.23079640625
1,"Antioquia","Arboletes",8.188875,1.82275
1,"Antioquia","Argelia",2.688,0.74
1,"Antioquia","Barbosa",12.5880348672566,9.2195207079646
1,"Antioquia","Bello",18.7045724637681,6.15855724637681
1,"Antioquia","Belmira",2.55833333333333,0.736
1,"Antioquia","Betania",4.59475,2.36575
1,"Antioquia","Betulia",6.44311111111111,1.31544444444444
1,"Antioquia","Briceno",13.0086666666667,5.53283333333333
1,"Antioquia","Buritica",13.0929,15.4956799999999
1,"Antioquia","Caceres",5.46705882352941,2.56411764705882
1,"Antioquia","Caicedo",12.37375,1.84875
1,"Antioquia","Caldas",15.4489038461538,6.12946153846154
1,"Antioquia","Campamento",2.528,0.712
1,"Antioquia","Canasgordas",4.311,0.753
1,"Antioquia","Caracoli",6.50333333333333,0.705333333333333
1,"Antioquia","Caramanta",4.84125,0.85525
1,"Antioquia","Carepa",11.5426666666667,7.57948148148148
1,"Antioquia","Carolina",10.147,1.701
1,"Antioquia","Caucasia",9.61566666666667,3.56664102564103
1,"Antioquia","Chigorodo",12.3599642857143,5.46435714285714
1,"Antioquia","Cisneros",8.82972727272727,2.28754545454545
1,"Antioquia","Ciudad Bolivar",4.6860625,1.42525
1,"Antioquia","Cocorna",9.24138461538462,3.11123076923077
1,"Antioquia","Concepcion",16.25425,4.09
1,"Antioquia","Concordia",2.6616,0.6568
1,"Antioquia","Copacabana",16.0537884615385,10.1925855769231
1,"Antioquia","Dabeiba",4.467,0.843
1,"Antioquia","Donmatias",7.43986666666667,3.63803333333333
1,"Antioquia","Ebejico",9.217097,5.664
1,"Antioquia","El Bagre",6.57778260869565,4.12865217391304
1,"Antioquia","El Carmen de Viboral",12.5465329333333,8.82467313333333
1,"Antioquia","El Santuario",4.99815384615385,2.72517871794872
1,"Antioquia","Entrerrios",8.009,4.88458333333333
1,"Antioquia","Envigado",24.6421851851852,14.7968172839506
1,"Antioquia","Fredonia",6.45775757575758,1.90284848484848
1,"Antioquia","Frontino",4.3251,0.8494
1,"Antioquia","Giraldo",3.5735,3.95616666666667
1,"Antioquia","Girardota",12.7642,9.80852631578947
1,"Antioquia","Gomez Plata",9.12833333333333,4.77422222222222
1,"Antioquia","Granada",16.363375,6.776
1,"Antioquia","Guadalupe",9.53933333333333,6.967
1,"Antioquia","Guarne",14.2545513168724,13.5490509053498
1,"Antioquia","Guatape",4.74260975609756,2.66499926829268
1,"Antioquia","Heliconia",2.2145,0.675
1,"Antioquia","Hispania",9.216,6.223
1,"Antioquia","Itagui",24.0761230769231,6.20315384615385
1,"Antioquia","Ituango",5.42516666666667,1.562
1,"Antioquia","Jardin",5.02464285714286,3.54221428571429
1,"Antioquia","Jerico",4.06163636363636,1.18372727272727
1,"Antioquia","La Ceja",15.3225520952381,9.7399197142857
1,"Antioquia","La Estrella",19.0461803278689,5.70059016393443
1,"Antioquia","La Pintada",7.5850625,3.9479375
1,"Antioquia","La Union",8.81482926829268,6.63717073170732
1,"Antioquia","Liborina",11.6464166666667,9.12225
1,"Antioquia","Maceo",4.22233333333333,2.86641666666667
1,"Antioquia","Marinilla",9.72107537815126,5.49652890756303
1,"Antioquia","Medellin",21.1837409326425,8.0418091537133
1,"Antioquia","Montebello",3.7225,5.6295
1,"Antioquia","Mutata",10.1232857142857,12.722
1,"Antioquia","Narino",4.997,14.2361111111111
1,"Antioquia","Nechi",2.8925,0.63075
1,"Antioquia","Necocli",7.676625,1.036
1,"Antioquia","Olaya",12.192,1.98475
1,"Antioquia","Penol",5.96073684210526,3.69275385964912
1,"Antioquia","Pueblorrico",8.0734,1.0008
1,"Antioquia","Puerto Berrio",5.24042857142857,2.91490476190476
1,"Antioquia","Puerto Nare",9.96827272727273,4.76181818181818
1,"Antioquia","Puerto Triunfo",7.38420708333333,4.70612375
1,"Antioquia","Remedios",9.38414634146342,7.33387804878049
1,"Antioquia","Retiro",16.6451998235294,15.1781570588235
1,"Antioquia","Rionegro",16.7194205145414,12.9971632438479
1,"Antioquia","Sabanalarga",2.9952,1.5594
1,"Antioquia","Sabaneta",24.1691538461538,6.33792307692308
1,"Antioquia","Salgar",9.77330769230769,2.15853846153846
1,"Antioquia","San Andres de Cuerquia",13.8655,3.933
1,"Antioquia","San Carlos",5.9986,2.56466666666667
1,"Antioquia","San Francisco",3.05475,2.81475
1,"Antioquia","San Jeronimo",7.32424242424242,2.83372727272727
1,"Antioquia","San Jose de la Montana",9.88216666666667,1.10633333333333
1,"Antioquia","San Juan de Uraba",3.23433333333333,0.614333333333333
1,"Antioquia","San Luis",4.0222,0.7402
1,"Antioquia","San Pedro de Uraba",3.892,1.35271428571429
1,"Antioquia","San Pedro de los Milagros",5.73044736842105,1.48094736842105
1,"Antioquia","San Rafael",5.6058,4.22366666666667
1,"Antioquia","San Roque",9.10872222222222,3.01494277777778
1,"Antioquia","San Vicente Ferrer",6.27769696969697,5.19819606060606
1,"Antioquia","Santa Barbara",5.80861111111111,2.0345
1,"Antioquia","Santa Fe de Antioquia",5.41467741935484,1.54993451612903
1,"Antioquia","Santa Rosa de Osos",8.59162162162162,3.44218918918919
1,"Antioquia","Santo Domingo",8.19881818181818,5.32245454545455
1,"Antioquia","Segovia",9.86767857142857,9.869
1,"Antioquia","Sonson",8.90896428571429,3.6156775
1,"Antioquia","Sopetran",7.42126666666667,2.9298
1,"Antioquia","Tamesis",5.73409523809524,1.71557142857143
1,"Antioquia","Taraza",5.4665,6.72148749999997
1,"Antioquia","Tarso",7.340125,3.531875
1,"Antioquia","Titiribi",11.936897,1.0749
1,"Antioquia","Toledo",1.289,0.858666666666667
1,"Antioquia","Turbo",8.2953962264151,3.07924528301887
1,"Antioquia","Urrao",6.11146666666667,1.57766666666667
1,"Antioquia","Valdivia",11.7124166666667,6.02341666666667
1,"Antioquia","Valparaiso",7.19947368421053,1.52789473684211
1,"Antioquia","Vegachi",3.540875,3.196125
1,"Antioquia","Venecia",8.3678805882353,3.15882352941177
1,"Antioquia","Yali",7.8776,2.8961
1,"Antioquia","Yarumal",5.58968862068965,2.38120689655172
1,"Antioquia","Yolombo",6.98139285714286,3.02203571428571
1,"Antioquia","Yondo",21.3215555555556,11.632311111111
1,"Antioquia","Zaragoza",10.9344,10.20494
1,"Arauca","Arauca",3.8416,0.894685714285714
1,"Arauca","Arauquita",4.15204619047619,3.85737952380952
1,"Arauca","Cravo Norte",3.998,3.194
1,"Arauca","Fortul",7.00485571428572,3.71528571428571
1,"Arauca","Puerto Rondon",3.484,2.867
1,"Arauca","Saravena",6.098,4.55513333333333
1,"Arauca","Tame",4.71971321428571,2.50682142857143
1,"Archipielago de San Andres, Providencia y Santa Catalina","Providencia",4.06633,2.83677777777778
1,"Archipielago de San Andres, Providencia y Santa Catalina","San Andres",3.50689617647059,4.11454411764706
1,"Atlantico","Baranoa",4.32091043478261,1.60739130434783
1,"Atlantico","Barranquilla",24.6021114864865,13.6086638513513
1,"Atlantico","Campo de la Cruz",1.95375,1.803
1,"Atlantico","Candelaria",9.312,9.166
1,"Atlantico","Galapa",14.2738684210526,4.70573605263158
1,"Atlantico","Juan de Acosta",11.2938333333333,7.6095
1,"Atlantico","Luruaco",7.99683333333333,4.275495
1,"Atlantico","Malambo",8.70205,4.02557425
1,"Atlantico","Palmar de Varela",3.02225,0.989
1,"Atlantico","Polonuevo",1.43566666666667,1.275
1,"Atlantico","Ponedera",3.5865,4.2615
1,"Atlantico","Puerto Colombia",22.8912857142857,11.7025814285714
1,"Atlantico","Repelon",7.64166666666667,2.23516666666667
1,"Atlantico","Sabanagrande",10.0461818181818,5.54763636363636
1,"Atlantico","Sabanalarga",4.94257142857143,2.66142857142857
1,"Atlantico","Santa Lucia",10.751,1.572
1,"Atlantico","Santo Tomas",6.09823076923077,1.248
1,"Atlantico","Soledad",14.1010186915888,5.10538317757009
1,"Atlantico","Suan",2.08733333333333,2.73833333333333
1,"Atlantico","Tubara",10.75799625,5.29962125
1,"Atlantico","Usiacuri",11.01,7.294
1,"Bogota, D.C.","Bogota, D.C.",24.2610666718386,9.91785459270752
1,"Bolivar","Achi",7.18125,7.42125
1,"Bolivar","Altos del Rosario",1.006,3.7905
1,"Bolivar","Arenal",3.64675,4.96125
1,"Bolivar","Arjona",8.40890322580645,2.36596774193548
1,"Bolivar","Barranco de Loba",8.45366666666667,5.74316666666667
1,"Bolivar","Calamar",2.296397,2.2629
1,"Bolivar","Cantagallo",4.578,3.5842
1,"Bolivar","Cartagena de Indias",21.0020565930599,13.4209178864353
1,"Bolivar","Cicuco",7.53,1.94645454545455
1,"Bolivar","Clemencia",3.47,1.8005
1,"Bolivar","Cordoba",5.73833333333333,3.11266666666667
1,"Bolivar","El Carmen de Bolivar",5.84656928571429,4.09856928571429
1,"Bolivar","El Guamo",2.055,0.965
1,"Bolivar","El Penon",6.533,1.13733333333333
1,"Bolivar","Hatillo de Loba",8.4224,3.8824
1,"Bolivar","Magangue",9.73526469387755,2.63365306122449
1,"Bolivar","Mahates",5.34275,0.6255
1,"Bolivar","Maria La Baja",3.92772727272727,1.26609090909091
1,"Bolivar","Mompos",2.59641,1.62176470588235
1,"Bolivar","Montecristo",11.3023333333333,4.78466666666667
1,"Bolivar","Morales",3.29833333333333,3.148
1,"Bolivar","Norosi",3.08365666666667,3.7
1,"Bolivar","Pinillos",11.90975,1.876
1,"Bolivar","Regidor",2.44,0.917
1,"Bolivar","Rio Viejo",3.0695,1.678
1,"Bolivar","San Estanislao",15.2845,5.27
1,"Bolivar","San Fernando",3.2925,3.735
1,"Bolivar","San Jacinto",7.4035,2.411
1,"Bolivar","San Juan Nepomuceno",6.74742857142857,1.70028571428571
1,"Bolivar","San Martin de Loba",6.325625,3.472625
1,"Bolivar","San Pablo",3.88314285714286,1.51
1,"Bolivar","Santa Catalina",2.15,1.133
1,"Bolivar","Santa Rosa",4.509875,1.781125
1,"Bolivar","Santa Rosa del Sur",6.3832,5.4498
1,"Bolivar","Simiti",4.31962125,3.839625
1,"Bolivar","Talaigua Nuevo",3.16275,1.76475
1,"Bolivar","Tiquisio",2.0365,1.3445
1,"Bolivar","Turbaco",20.0244488405797,6.21546231884057
1,"Bolivar","Turbana",22.0975714285714,9.448
1,"Bolivar","Villanueva",19.3446566666667,19.7323333333333
1,"Bolivar","Zambrano",2.758,4.93466666666667
1,"Boyaca","Almeida",4.31866666666667,3.37133333333333
1,"Boyaca","Arcabuco",7.367,3.4328
1,"Boyaca","Belen",3.18,0.74
1,"Boyaca","Caldas",2.061,0.882
1,"Boyaca","Cerinza",0.752,0.324
1,"Boyaca","Chinavita",1.207,1.566
1,"Boyaca","Chiquinquira",10.6955862068966,8.09768862068966
1,"Boyaca","Chitaraque",4.356,2.084
1,"Boyaca","Chivata",2.928,1.41766666666667
1,"Boyaca","Cienega",5.28025,3.44287125
1,"Boyaca","Combita",8.25948303030303,7.41463636363636
1,"Boyaca","Coper",6.17,3.469
1,"Boyaca","Corrales",8.128,10.092
1,"Boyaca","Covarachia",18.7945,6.2105
1,"Boyaca","Cubara",8.21566666666667,5.00755555555556
